contact info,Display name,documents serial,long bio,personality serial,short bio,Sorting name,title
,Sir Wylie Grier,,,P10200,,"Grier, Sir Wylie",Sir Wylie Grier
,Clint Griffin,,,P10201,,"Griffin, Clint",Clint Griffin
,Scott Griffin,,,P10202,,"Griffin, Scott",Scott Griffin
,Brian Groombridge,,,P10203,,"Groombridge, Brian",Brian Groombridge
,Claude Guertin,,,P10204,,"Guertin, Claude",Claude Guertin
,Allie H (attributed to),,,P10205,,"H (attributed to), Allie",Allie H (attributed to)
,Hakka,,,P10206,,Hakka,Hakka
,Anitra Hamilton,,,P10207,,"Hamilton, Anitra",Anitra Hamilton
,Richard Hamilton,,,P10208,,"Hamilton, Richard",Richard Hamilton
,Tom Hammick,,,P10209,,"Hammick, Tom",Tom Hammick
,Arni Haraldsson,,,P10210,,"Haraldsson, Arni",Arni Haraldsson
,John Hartman,,,P10211,,"Hartman, John",John Hartman
,Hans Hartung,,,P10212,,"Hartung, Hans",Hans Hartung
,Arnold Hassal,,,P10213,,"Hassal, Arnold",Arnold Hassal
,George Hawken,,,P10214,,"Hawken, George",George Hawken
,Keichi Hayano,,,P10215,,"Hayano, Keichi",Keichi Hayano
,Michael Hayden,,,P10216,,"Hayden, Michael",Michael Hayden
,S.W Hayter,,,P10217,,"Hayter, S.W",S.W Hayter
,Robert Hedrick,,,P10218,,"Hedrick, Robert",Robert Hedrick
,Cornelius Heesters,,,P10219,,"Heesters, Cornelius",Cornelius Heesters
,Jules Heller,,,P10220,,"Heller, Jules",Jules Heller
,Susanna Heller,,,P10221,,"Heller, Susanna",Susanna Heller
,Francis Henne,,,P10222,,"Henne, Francis",Francis Henne
,Barbara Hepworth,,,P10223,,"Hepworth, Barbara",Barbara Hepworth
,Paul Hermann,,,P10224,,"Hermann, Paul",Paul Hermann
,Jane Hinton,,,P10225,,"Hinton, Jane",Jane Hinton
,Marla Hlady,,,P10226,,"Hlady, Marla",Marla Hlady
,Tom Hodgson,,,P10227,,"Hodgson, Tom",Tom Hodgson
,David Holden,,,P10228,,"Holden, David",David Holden
,Alan Barkley and Linda Holoway,,,P10229,,"Barkley, Alan and Linda Holoway",Alan Barkley and Linda Holoway
,Cathrin Hoskinson,,,P10230,,"Hoskinson, Cathrin",Cathrin Hoskinson
,Brian Hoxha,,,P10231,,"Hoxha, Brian",Brian Hoxha
,Amy-Claire Huestis,,,P10232,,"Huestis, Amy-Claire",Amy-Claire Huestis
,Jack Humphrey,,,P10233,,"Humphrey, Jack",Jack Humphrey
,Nene Humphrey,,,P10234,,"Humphrey, Nene",Nene Humphrey
,Fritz Hundertwasser,,,P10235,,"Hundertwasser, Fritz",Fritz Hundertwasser
,Bryan Hunt,,,P10236,,"Hunt, Bryan",Bryan Hunt
,Oliver Husain,,,P10237,,"Husain, Oliver",Oliver Husain
,Paul Hutner,,,P10238,,"Hutner, Paul",Paul Hutner
,Mary Igiu,,,P10239,,"Igiu, Mary",Mary Igiu
,Johnnie Inookpuk,,,P10240,,"Inookpuk, Johnnie",Johnnie Inookpuk
,Eli Inukpaluk,,,P10241,,"Inukpaluk, Eli",Eli Inukpaluk
,Daniel Inukpuk,,,P10242,,"Inukpuk, Daniel",Daniel Inukpuk
,Jobie Inukpuk,,,P10243,,"Inukpuk, Jobie",Jobie Inukpuk
,Johnny Inukpuk,,,P10244,,"Inukpuk, Johnny",Johnny Inukpuk
,"Johnny, Jr. Inukpuk",,,P10245,,"Inukpuk, Johnny, Jr.","Johnny, Jr. Inukpuk"
,Isapik (attributed to),,,P10246,,Isapik (attributed to),Isapik (attributed to)
,Ishanak,,,P10247,,Ishanak,Ishanak
,Gershon Iskowitz,,,P10248,,"Iskowitz, Gershon",Gershon Iskowitz
,Samisa Passauralu Ivilla,,,P10249,,"Ivilla, Samisa Passauralu",Samisa Passauralu Ivilla
,Richard Jack,,,P10250,,"Jack, Richard",Richard Jack
,Alain Jacquet,,,P10251,,"Jacquet, Alain",Alain Jacquet
,Jean Jansen,,,P10252,,"Jansen, Jean",Jean Jansen
,Kenneth P. Jarvis,,,P10253,,"Jarvis, Kenneth P.",Kenneth P. Jarvis
,Tamara Jaworska,,,P10254,,"Jaworska, Tamara",Tamara Jaworska
,Patrick Jenkins,,,P10255,,"Jenkins, Patrick",Patrick Jenkins
,Liu Jian,,,P10256,,"Jian, Liu",Liu Jian
,Joanassie (attributed to),,,P10257,,Joanassie (attributed to),Joanassie (attributed to)
,Jasper Johns,,,P10258,,"Johns, Jasper",Jasper Johns
,Allen Jones,,,P10259,,"Jones, Allen",Allen Jones
,Barrie Jones,,,P10260,,"Jones, Barrie",Barrie Jones
,Janet Jones,,,P10261,,"Jones, Janet",Janet Jones
,Alison Judd,,,P10262,,"Judd, Alison",Alison Judd
,Menashe Kadishman,,,P10263,,"Kadishman, Menashe",Menashe Kadishman
,Robert Kaiser,,,P10264,,"Kaiser, Robert",Robert Kaiser
,Kakatuk,,,P10265,,Kakatuk,Kakatuk
,Kania (attributed to),,,P10266,,Kania (attributed to),Kania (attributed to)
,Kannok (attributed to),,,P10267,,Kannok (attributed to),Kannok (attributed to)
,Daniel Kasudluak,,,P10268,,"Kasudluak, Daniel",Daniel Kasudluak
,Davidee Kasudluak,,,P10269,,"Kasudluak, Davidee",Davidee Kasudluak
,Johnnie Kasudluak,,,P10270,,"Kasudluak, Johnnie",Johnnie Kasudluak
,Paulosie Kasudluak,,,P10271,,"Kasudluak, Paulosie",Paulosie Kasudluak
,Peter Kasudluak,,,P10272,,"Kasudluak, Peter",Peter Kasudluak
,Katoka (attributed to),,,P10273,,Katoka (attributed to),Katoka (attributed to)
,Mary Kennedy,,,P10274,,"Kennedy, Mary",Mary Kennedy
,Kiakshuk,,,P10275,,Kiakshuk,Kiakshuk
,Kiakshuk (attributed to),,,P10276,,Kiakshuk (attributed to),Kiakshuk (attributed to)
,Ken Kirkby,,,P10277,,"Kirkby, Ken",Ken Kirkby
,Harry Kiyooka,,,P10278,,"Kiyooka, Harry",Harry Kiyooka
,Roy Kenzie Kiyooka,,,P10279,,"Kiyooka, Roy Kenzie",Roy Kenzie Kiyooka
,Oscar Kokoschka,,,P10280,,"Kokoschka, Oscar",Oscar Kokoschka
,Wanda Koop,,,P10281,,"Koop, Wanda",Wanda Koop
,C.H Kowallek,,,P10282,,"Kowallek, C.H",C.H Kowallek
,Lee Krasner,,,P10283,,"Krasner, Lee",Lee Krasner
,Sholem Krishtalka,,,P10284,,"Krishtalka, Sholem",Sholem Krishtalka
,Nobuo Kubota,,,P10285,,"Kubota, Nobuo",Nobuo Kubota
,Lucassie Kumarluk,,,P10286,,"Kumarluk, Lucassie",Lucassie Kumarluk
,William Kurelek,,,P10287,,"Kurelek, William",William Kurelek
,Timothy Kutchaka,,,P10288,,"Kutchaka, Timothy",Timothy Kutchaka
,Donna Kwasnicki,,,P10289,,"Kwasnicki, Donna",Donna Kwasnicki
,Richard Lacroix,,,P10290,,"Lacroix, Richard",Richard Lacroix
,Jiri Ladocha,,,P10291,,"Ladocha, Jiri",Jiri Ladocha
,Gerald Laing,,,P10292,,"Laing, Gerald",Gerald Laing
,Norman Laliberte,,,P10293,,"Laliberte, Norman",Norman Laliberte
,Randy Lander,,,P10294,,"Lander, Randy",Randy Lander
,James Fenwick Lansdowne,,,P10295,,"Lansdowne, James Fenwick",James Fenwick Lansdowne
,Ibram Lassaw,,,P10296,,"Lassaw, Ibram",Ibram Lassaw
,Maarten Laupman,,,P10297,,"Laupman, Maarten",Maarten Laupman
,Nicolas Lawreince (de Quevauviller),,,P10298,,"Lawreince (de Quevauviller), Nicolas",Nicolas Lawreince (de Quevauviller)
,Nicolas Lawreince (Tresca),,,P10299,,"Lawreince (Tresca), Nicolas",Nicolas Lawreince (Tresca)
,Don Lawrence,,,P10300,,"Lawrence, Don",Don Lawrence
,Helen Lawson,,,P10301,,"Lawson, Helen",Helen Lawson
,Thomas Lax,,,P10302,,"Lax, Thomas",Thomas Lax
,Francis Le Bouthiller,,,P10303,,"Le Bouthiller, Francis",Francis Le Bouthiller
,Leah (attributed to),,,P10304,,Leah (attributed to),Leah (attributed to)
,J.J Lee,,,P10305,,"Lee, J.J",J.J Lee
,Cyril Leeper,,,P10306,,"Leeper, Cyril",Cyril Leeper
,Fernand Leger,,,P10307,,"Leger, Fernand",Fernand Leger
,Jean-Paul Lemieux,,,P10308,,"Lemieux, Jean-Paul",Jean-Paul Lemieux
,Julio LeParc,,,P10309,,"LeParc, Julio",Julio LeParc
,Hugh Leroy,,,P10310,,"Leroy, Hugh",Hugh Leroy
,Levi (attributed to),,,P10311,,Levi (attributed to),Levi (attributed to)
,Les Levine,,,P10312,,"Levine, Les",Les Levine
,Roy Lichtenstein,,,P10313,,"Lichtenstein, Roy",Roy Lichtenstein
,Charlotte Lindgren,,,P10314,,"Lindgren, Charlotte",Charlotte Lindgren
,Doreen Lindsay,,,P10315,,"Lindsay, Doreen",Doreen Lindsay
,Stephen Livick,,,P10316,,"Livick, Stephen",Stephen Livick
,Sue Lloyd,,,P10317,,"Lloyd, Sue",Sue Lloyd
,Kenneth C. Lochhead,,,P10318,,"Lochhead, Kenneth C.",Kenneth C. Lochhead
,Alex Logan,,,P10319,,"Logan, Alex",Alex Logan
,Howard Lonn,,,P10320,,"Lonn, Howard",Howard Lonn
,Gino Lorcini,,,P10321,,"Lorcini, Gino",Gino Lorcini
